#Produced by 14WS/CXOT
#UNCLASSIFIED
#For Planning Purposes Only
#SAR:  12847
#Station:  KLSF
#Data Sources:  Surface Observation Database
#POR:  20120101-20220930

Year,Month,Day,Hour (UTC),Temperature (F),Dewpoint Temperature (F),RH (%),Heat Index (F),Derived Wet Bulb Globe Temperature (F)
2012,1,1,0,50.0,41.0,70.8,50.0,47.0
2012,1,1,1,46.4,41.0,81.2,46.4,44.7
2012,1,1,2,44.6,41.0,87.0,44.6,43.5
2012,1,1,3,42.8,39.2,86.9,42.8,41.8
2012,1,1,4,41.0,39.2,93.2,41.0,40.6
2012,1,1,5,39.2,37.4,93.1,39.2,38.8
2012,1,1,6,39.2,39.2,100.0,39.2,39.4
2012,1,1,7,39.2,37.4,100.0,39.2,38.8
2012,1,1,8,37.4,37.4,100.0,37.4,37.6
2012,1,1,9,37.4,35.6,93.1,37.4,37.0
2012,1,1,10,39.2,39.2,100.0,39.2,39.4
2012,1,1,11,41.0,41.0,100.0,41.0,41.2
2012,1,1,12,44.6,44.6,100.0,44.6,44.8
2012,1,1,13,48.2,46.4,100.0,48.2,47.7
2012,1,1,14,48.2,48.2,100.0,48.2,49.6
2012,1,1,15,57.2,57.2,100.0,57.2,59.7
2012,1,1,16,60.8,60.8,100.0,60.8,63.9
2012,1,1,17,68.0,62.6,100.0,68.0,69.1
2012,1,1,18,69.8,59.0,72.5,69.8,70.6
2012,1,1,19,69.8,59.0,68.0,69.8,70.0
2012,1,1,20,71.6,59.0,63.9,76.2,71.2
2012,1,1,21,71.6,57.2,59.8,76.2,67.4
2012,1,1,22,69.8,57.2,63.7,69.8,65.2
2012,1,1,23,66.2,59.0,100.0,66.2,59.2
2012,1,2,0,62.6,46.4,54.9,62.6,56.5
2012,1,2,1,57.2,41.0,54.2,57.2,51.5
2012,1,2,2,55.4,37.4,50.2,55.4,49.4
2012,1,2,3,55.4,33.8,43.5,55.4,48.5
2012,1,2,4,50.0,33.8,53.2,50.0,45.0
2012,1,2,5,48.2,33.8,56.9,48.2,43.8
2012,1,2,6,44.6,32.0,60.8,44.6,41.0
2012,1,2,7,44.6,32.0,60.8,44.6,41.0
2012,1,2,8,41.0,30.2,64.9,41.0,38.0
2012,1,2,9,39.2,30.2,69.7,39.2,36.7
2012,1,2,10,39.2,30.2,69.7,39.2,36.7
2012,1,2,11,37.4,28.4,69.5,37.4,35.0
2012,1,2,12,37.4,24.8,59.8,37.4,34.1
2012,1,2,13,32.0,24.8,71.5,32.0,30.6
2012,1,2,14,41.0,23.0,48.1,41.0,38.4
2012,1,2,15,44.6,19.4,35.9,44.6,41.3
2012,1,2,16,46.4,17.6,31.0,46.4,42.8
