"","Year","Month","Day","Hour (UTC)","Temperature (F)","Dewpoint Temperature (F)","RH (%)","Heat Index (F)","Derived Wet Bulb Globe Temperature (F)"
"1",2012,1,1,0,57.2,26.6,30.3,57.2,47.7
"2",2012,1,1,1,55.4,30.2,37.6,55.4,47.4
"3",2012,1,1,2,53.6,33.8,46.5,53.6,47.2
"4",2012,1,1,3,53.6,39.2,57.6,53.6,48.7
"5",2012,1,1,4,55.4,42.8,62.1,55.4,50.9
"6",2012,1,1,5,55.4,42.8,62.1,55.4,50.9
"7",2012,1,1,6,53.6,37.4,53.7,53.6,48.2
"8",2012,1,1,7,51.8,28.4,39.9,51.8,44.6
"9",2012,1,1,8,50,33.8,65.3,50,44
"10",2012,1,1,9,44.6,33.8,65.3,44.6,41.4
"11",2012,1,1,10,41,33.8,75.1,41,38.9
"12",2012,1,1,11,41,33.8,75.1,41,38.9
"13",2012,1,1,12,41,32,69.9,41,38.4
"14",2012,1,1,13,39.2,30.2,69.7,39.2,36.7
"15",2012,1,1,14,37.4,28.4,69.5,37.4,35.6
"16",2012,1,1,15,39.2,26.6,60.1,39.2,37.7
"17",2012,1,1,16,41,24.8,51.9,41,39.6
"18",2012,1,1,17,44.6,21.2,38.8,44.6,41.7
"19",2012,1,1,18,44.6,15.8,30.7,44.6,41.3
"20",2012,1,1,19,46.4,14,26.5,46.4,42.3
"21",2012,1,1,20,46.4,12.2,24.5,46.4,41
"22",2012,1,1,21,46.4,12.2,24.5,46.4,40.2
"23",2012,1,1,22,44.6,10.4,24.2,44.6,37.6
"24",2012,1,1,23,42.8,10.4,25.9,42.8,35.3
"25",2012,1,2,0,41,12.2,30.1,41,34.2
"26",2012,1,2,1,39.2,12.2,32.3,39.2,33
"27",2012,1,2,2,39.2,12.2,32.3,39.2,33
"28",2012,1,2,3,37.4,12.2,34.7,37.4,31.7
"29",2012,1,2,4,37.4,10.4,32.1,37.4,31.5
"30",2012,1,2,5,35.6,6.8,29.3,35.6,29.8
"31",2012,1,2,6,33.8,8.6,34.1,33.8,28.7
"32",2012,1,2,7,32,10.4,35.4,32,27.6
"33",2012,1,2,8,30.2,10.4,38.5,30.2,26.3
"34",2012,1,2,9,28.4,12.2,45.8,28.4,25.1
"35",2012,1,2,10,28.4,12.2,45.8,28.4,25.1
"36",2012,1,2,11,26.6,12.2,49.8,26.6,23.8
"37",2012,1,2,13,26.6,12.2,49.8,26.6,23.8
"38",2012,1,2,14,26.6,10.4,45.5,26.6,24.2
"39",2012,1,2,15,28.4,6.8,34.9,28.4,26.4
"40",2012,1,2,16,30.2,5,29.3,30.2,28.6
"41",2012,1,2,17,32,1.4,22.3,32,30.4
"42",2012,1,2,18,33.8,-0.4,22.5,33.8,31.6
"43",2012,1,2,19,35.6,-2.2,19.3,35.6,32.4
"44",2012,1,2,20,35.6,-2.2,19.3,35.6,32.4
"45",2012,1,2,21,35.6,-0.4,21,35.6,31.4
"46",2012,1,2,22,33.8,-0.4,22.5,33.8,29.1
"47",2012,1,2,23,32,-0.4,20.3,32,26.4
"48",2012,1,3,0,30.2,-0.4,22.1,30.2,25.1
"49",2012,1,3,1,28.4,1.4,26.4,28.4,23.9
"50",2012,1,3,2,26.6,1.4,28.7,26.6,22.5
"51",2012,1,3,3,26.6,3.2,31.5,26.6,22.7
"52",2012,1,3,4,24.8,3.2,34.3,24.8,21.3
"53",2012,1,3,5,21.2,5,44.7,21.2,18.6
"54",2012,1,3,6,21.2,5,44.7,21.2,18.6
"55",2012,1,3,7,19.4,6.8,53.5,19.4,17.4
"56",2012,1,3,8,19.4,5,48.8,19.4,17.2
"57",2012,1,3,9,19.4,5,48.8,19.4,17.2
"58",2012,1,3,10,15.8,8.6,69.9,15.8,14.7
"59",2012,1,3,11,15.8,8.6,69.9,15.8,14.7
"60",2012,1,3,12,14,6.8,69.7,14,13.1
"61",2012,1,3,13,14,6.8,69.7,14,13.1
"62",2012,1,3,14,15.8,6.8,63.8,15.8,15.9
"63",2012,1,3,15,23,8.6,49.3,23,23.4
"64",2012,1,3,16,28.4,6.8,34.9,28.4,29.7
"65",2012,1,3,17,33.8,5,29,33.8,32.9
"66",2012,1,3,18,37.4,3.2,23.1,37.4,35.6
"67",2012,1,3,19,41,3.2,20,41,37.6
"68",2012,1,3,20,42.8,5,20.3,42.8,38.7
"69",2012,1,3,21,42.8,8.6,23.9,42.8,37.8
"70",2012,1,3,22,42.8,8.6,23.9,42.8,36.5
"71",2012,1,3,23,39.2,8.6,27.5,39.2,32.5
"72",2012,1,4,0,37.4,8.6,29.6,37.4,31.3
"73",2012,1,4,1,35.6,6.8,29.3,35.6,29.7
"74",2012,1,4,2,35.6,8.6,31.8,35.6,29.9
"75",2012,1,4,3,35.6,10.4,34.4,35.6,30.2
"76",2012,1,4,4,33.8,12.2,40.1,33.8,29.1
"77",2012,1,4,5,35.6,12.2,37.3,35.6,30.4
"78",2012,1,4,6,35.6,12.2,37.3,35.6,30.4
"79",2012,1,4,7,33.8,14,43.4,33.8,29.4
"80",2012,1,4,8,33.8,14,43.4,33.8,29.4
"81",2012,1,4,9,33.8,15.8,47,33.8,29.6
"82",2012,1,4,10,35.6,15.8,43.7,35.6,31
"83",2012,1,4,11,33.8,15.8,47,33.8,29.6
"84",2012,1,4,12,33.8,17.6,50.8,33.8,30
"85",2012,1,4,13,33.8,19.4,54.9,33.8,30.4
"86",2012,1,4,14,37.4,23,55.4,37.4,34.5
"87",2012,1,4,15,41,24.8,51.9,41,39
"88",2012,1,4,16,42.8,26.6,52.2,42.8,41.3
"89",2012,1,4,17,44.6,28.4,52.4,44.6,43.9
"90",2012,1,4,18,48.2,30.2,49.2,48.2,46.9
"91",2012,1,4,19,50,30.2,46,50,48.1
"92",2012,1,4,20,51.8,30.2,42.9,51.8,48.7
"93",2012,1,4,21,51.8,30.2,42.9,51.8,47.6
"94",2012,1,4,22,51.8,30.2,42.9,51.8,46.6
"95",2012,1,4,23,48.2,30.2,49.2,48.2,42.8
"96",2012,1,5,0,44.6,30.2,56.5,44.6,40.4
"97",2012,1,5,1,42.8,28.4,56.2,42.8,38.6
"98",2012,1,5,2,39.2,28.4,64.7,39.2,36.2
"99",2012,1,5,3,39.2,28.4,64.7,39.2,36.2
"100",2012,1,5,4,39.2,28.4,64.7,39.2,36.2
"101",2012,1,5,5,35.6,28.4,74.6,35.6,33.7
"102",2012,1,5,6,33.8,28.4,80.2,33.8,32.4
"103",2012,1,5,7,35.6,26.6,69.3,35.6,33.2
"104",2012,1,5,8,35.6,24.8,64.3,35.6,32.7
