"","Year","Month","Day","Hour (UTC)","Temperature (F)","Dewpoint Temperature (F)","RH (%)","Heat Index (F)","Derived Wet Bulb Globe Temperature (F)"
"1",2012,1,1,0,68,35.6,29.7,68,56.5
"2",2012,1,1,1,60.8,26.6,26.6,60.8,50
"3",2012,1,1,2,59,21.2,22.6,59,47.9
"4",2012,1,1,3,53.6,24.8,32.1,53.6,45
"5",2012,1,1,4,48.2,30.2,49.2,48.2,42.8
"6",2012,1,1,5,46.4,30.2,52.7,46.4,41.6
"7",2012,1,1,6,46.4,30.2,52.7,46.4,41.6
"8",2012,1,1,7,46.4,28.4,48.9,46.4,41.1
"9",2012,1,1,8,44.6,28.4,52.4,44.6,39.9
"10",2012,1,1,9,44.6,26.6,48.7,44.6,39.5
"11",2012,1,1,10,42.8,26.6,52.2,42.8,38.2
"12",2012,1,1,11,42.8,23,44.9,42.8,37.4
"13",2012,1,1,12,39.2,24.8,55.7,39.2,35.3
"14",2012,1,1,13,37.4,24.8,59.8,37.4,34
"15",2012,1,1,14,37.4,24.8,59.8,37.4,34.2
"16",2012,1,1,15,41,26.6,56,41,38.4
"17",2012,1,1,16,42.8,26.6,52.2,42.8,41.1
"18",2012,1,1,17,46.4,26.6,45.4,46.4,44.7
"19",2012,1,1,18,50,24.8,36.7,50,47.8
"20",2012,1,1,19,51.8,23,31.8,51.8,48.8
"21",2012,1,1,20,53.6,21.2,27.6,53.6,48.7
"22",2012,1,1,21,53.6,21.2,27.6,53.6,47.8
"23",2012,1,1,22,53.6,21.2,27.6,53.6,46.9
"24",2012,1,1,23,51.8,19.4,27.3,51.8,43.6
"25",2012,1,2,0,46.4,19.4,33.5,46.4,39.2
"26",2012,1,2,1,44.6,21.2,38.8,44.6,38.3
"27",2012,1,2,2,42.8,21.2,41.6,42.8,37.1
"28",2012,1,2,3,41,23,48.1,41,36.2
"29",2012,1,2,4,41,23,48.1,41,36.2
"30",2012,1,2,5,41,24.8,51.9,41,36.6
"31",2012,1,2,6,39.2,24.8,55.7,39.2,35.3
"32",2012,1,2,7,33.8,24.8,69.1,33.8,31.5
"33",2012,1,2,8,35.6,23,59.6,35.6,32.3
"34",2012,1,2,9,35.6,23,59.6,35.6,32.3
"35",2012,1,2,10,35.6,23,59.6,35.6,32.3
"36",2012,1,2,11,33.8,23,64,33.8,31.1
"37",2012,1,2,12,32,23,65.6,32,29.8
"38",2012,1,2,13,30.2,23,71.3,30.2,28.5
"39",2012,1,2,14,30.2,23,71.3,30.2,28.8
"40",2012,1,2,15,33.8,23,64,33.8,32.9
"41",2012,1,2,16,37.4,19.4,47.6,37.4,36
"42",2012,1,2,17,41,17.6,38.2,41,39.7
"43",2012,1,2,18,42.8,15.8,32.9,42.8,41.9
"44",2012,1,2,19,46.4,15.8,28.7,46.4,44
"45",2012,1,2,20,48.2,15.8,26.8,48.2,46.9
"46",2012,1,2,21,50,15.8,25,50,45.4
"47",2012,1,2,22,50,17.6,27,50,45.2
"48",2012,1,2,23,48.2,19.4,31.3,48.2,41.5
"49",2012,1,3,0,42.8,21.2,41.6,42.8,37.1
"50",2012,1,3,1,41,21.2,44.6,41,35.8
"51",2012,1,3,2,39.2,21.2,47.8,39.2,34.5
"52",2012,1,3,3,35.6,21.2,55.2,35.6,32
"53",2012,1,3,4,35.6,21.2,55.2,35.6,32
"54",2012,1,3,5,30.2,21.2,65.4,30.2,28.1
"55",2012,1,3,6,30.2,23,71.3,30.2,28.5
"56",2012,1,3,7,32,21.2,60.2,32,29.4
"57",2012,1,3,8,32,23,65.6,32,29.8
"58",2012,1,3,9,28.4,21.2,71.1,28.4,26.8
"59",2012,1,3,10,28.4,21.2,71.1,28.4,26.8
"60",2012,1,3,11,28.4,21.2,71.1,28.4,26.8
"61",2012,1,3,12,26.6,21.2,77.4,26.6,25.5
"62",2012,1,3,13,28.4,21.2,71.1,28.4,26.8
"63",2012,1,3,14,26.6,21.2,77.4,26.6,25.8
"64",2012,1,3,15,32,24.8,71.5,32,32.9
"65",2012,1,3,16,37.4,24.8,59.8,37.4,37.4
"66",2012,1,3,17,44.6,28.4,52.4,44.6,44
"67",2012,1,3,18,50,26.6,39.6,50,47.2
"68",2012,1,3,19,55.4,28.4,34.9,55.4,51
"69",2012,1,3,20,59,26.6,28.4,59,52.2
"70",2012,1,3,21,60.8,24.8,24.7,60.8,52.4
"71",2012,1,3,22,60.8,24.8,24.7,60.8,51.3
"72",2012,1,3,23,59,24.8,26.3,59,49.1
"73",2012,1,4,0,51.8,28.4,39.9,51.8,44.7
"74",2012,1,4,1,50,28.4,42.7,50,43.5
"75",2012,1,4,2,48.2,26.6,42.4,48.2,41.9
"76",2012,1,4,3,44.6,28.4,52.4,44.6,39.9
"77",2012,1,4,4,41,28.4,60.3,41,37.5
"78",2012,1,4,5,41,28.4,60.3,41,37.5
"79",2012,1,4,6,39.2,28.4,64.7,39.2,36.2
"80",2012,1,4,7,37.4,28.4,69.5,37.4,34.9
"81",2012,1,4,8,35.6,28.4,74.6,35.6,33.7
